100 4860
33 57 25
97 71 27
44 60 4
79 83 25
65 68 22
2 68 24
27 38 3
19 28 6
14 53 7
67 32 5
6 4 22
76 27 25
99 88 28
36 32 27
41 56 27
56 98 16
97 41 4
8 32 30
18 16 17
77 67 7
18 83 26
87 98 25
1 89 1
52 50 9
49 45 19
45 53 7
24 88 20
70 17 23
60 64 25
79 24 18
26 4 3
50 28 22
86 5 17
97 2 2
22 32 23
48 7 10
76 83 21
42 98 7
1 0 9
45 6 2
94 75 22
24 86 15
43 67 10
82 54 22
15 13 7
1 94 22
3 12 23
92 32 24
68 35 9
85 98 19
49 64 29
11 44 12
70 0 28
84 86 14
67 8 28
23 39 19
57 11 2
89 60 2
38 61 4
39 61 11
31 77 15
31 17 20
85 79 15
9 1 9
88 85 24
5 83 4
18 21 4
44 50 4
55 74 9
55 69 5
18 97 30
57 29 15
8 44 20
79 34 10
69 67 5
73 87 23
87 62 24
18 94 12
25 11 8
90 81 20
28 51 7
68 80 5
91 36 13
32 11 14
16 61 29
66 95 13
33 82 9
5 20 4
64 26 6
92 98 2
56 89 18
26 1 23
28 29 19
43 2 15
73 11 25
32 40 21
21 42 3
81 79 13
81 8 26
49 47 27
51 2 11
36 47 29
35 81 6
74 75 2
78 32 9
57 82 28
57 77 20
9 16 24
5 17 24
55 46 10
41 40 7
6 51 28
22 29 22
80 9 8
61 68 30
78 34 19
13 14 8
22 69 18
27 32 17
0 83 8
5 92 23
48 44 23
40 70 27
34 58 27
72 1 2
59 62 20
70 32 25
88 20 13
69 65 7
57 19 7
21 25 12
95 17 4
12 96 18
86 2 6
42 81 17
41 67 18
64 85 27
69 66 6
71 39 9
47 32 3
31 72 16
83 52 13
9 43 3
29 19 25
86 1 24
15 20 7
77 68 14
48 77 18
75 88 24
8 79 13
5 76 16
96 20 7
49 12 22
3 40 13
75 10 24
5 2 2
75 19 6
68 94 30
96 1 28
39 79 3
37 81 26
5 74 22
11 54 24
10 25 2
67 68 12
5 3 9
3 57 27
19 43 24
28 4 8
54 59 16
92 48 17
48 74 12
73 38 14
43 55 5
62 97 16
34 14 8
45 73 7
20 43 28
75 46 3
45 68 22
67 50 28
87 15 17
73 1 12
60 80 25
8 75 12
57 65 24
74 22 5
21 5 21
62 14 20
41 71 29
38 39 19
56 45 6
66 60 5
56 57 3
61 24 4
8 51 2
5 32 5
37 93
